person_id,person_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_birth_date
0,0,22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,2002-12-04
1,1,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,2003-12-04
2,2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,1999-12-04
3,3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,2001-12-04
4,4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,2000-12-04
5,5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,2003-12-04
6,6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,1998-12-04
7,7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,2000-12-04
8,8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,2000-12-04
9,9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,2003-12-04
10,10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,2002-12-04
11,11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,2003-12-04
12,12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,2001-12-04
13,13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,1998-12-04
14,14,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,2001-12-04
15,15,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,2001-12-04
16,16,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,2001-12-04
17,17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,2001-12-04
18,18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,2001-12-04
19,19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,2000-12-04
20,20,25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,1999-12-04
21,21,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,1999-12-04
22,22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,2002-12-04
23,23,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,2000-12-04
24,24,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,2002-12-04
25,25,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,2000-12-04
26,26,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,2003-12-04
27,27,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,2001-12-04
28,28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,2000-12-04
29,29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,2003-12-04
30,30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,2003-12-04
